"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
25664,166,"PRK","North Korea",3,"Hamgyong-namdo",54,"Yodok","","Yodok","Gun","County"
25665,166,"PRK","North Korea",4,"Hwanghae-bukto",55,"Unp'a","","Unpa","Gun","County"
25666,166,"PRK","North Korea",4,"Hwanghae-bukto",56,"Hwangju","","","Gun","County"
25667,166,"PRK","North Korea",4,"Hwanghae-bukto",57,"Kumch'on","","Kumchon","Gun","County"
25668,166,"PRK","North Korea",4,"Hwanghae-bukto",58,"Kaesong","","Kaesong","Si","City"
25669,166,"PRK","North Korea",4,"Hwanghae-bukto",59,"Koksan","","","Gun","County"
25670,166,"PRK","North Korea",4,"Hwanghae-bukto",60,"P'yongsan","","Pyongsan","Gun","County"
25671,166,"PRK","North Korea",4,"Hwanghae-bukto",61,"Pongsan","","Bongsan","Gun","County"
25672,166,"PRK","North Korea",4,"Hwanghae-bukto",62,"Rinsan","","","Gun","County"
25673,166,"PRK","North Korea",4,"Hwanghae-bukto",63,"Sariwon","","Sariwon","Si","City"
25674,166,"PRK","North Korea",4,"Hwanghae-bukto",64,"Sin'gye","","Singye","Gun","County"
25675,166,"PRK","North Korea",4,"Hwanghae-bukto",65,"Sinp'yong","","Sinpyong","Gun","County"
25676,166,"PRK","North Korea",4,"Hwanghae-bukto",66,"Songhu","","","Gun","County"
25677,166,"PRK","North Korea",4,"Hwanghae-bukto",67,"Songrim","","","Si","City"
25678,166,"PRK","North Korea",4,"Hwanghae-bukto",68,"Suan","","","Gun","County"
25679,166,"PRK","North Korea",4,"Hwanghae-bukto",69,"T'osan","","Tosan","Gun","County"
25680,166,"PRK","North Korea",4,"Hwanghae-bukto",70,"Yonsan","","Yonsan","Gun","County"
25681,166,"PRK","North Korea",4,"Hwanghae-bukto",71,"Yontan","","Yontan","Gun","County"
25682,166,"PRK","North Korea",5,"Hwanghae-namdo",72,"Unch'on","","Unchon","Gun","County"
25683,166,"PRK","North Korea",5,"Hwanghae-namdo",73,"Unryul","","Unryul","Gun","County"
25684,166,"PRK","North Korea",5,"Hwanghae-namdo",74,"Anak","","","Gun","County"
25685,166,"PRK","North Korea",5,"Hwanghae-namdo",75,"Ch'ongdan","","Chongdan","Gun","County"
25686,166,"PRK","North Korea",5,"Hwanghae-namdo",76,"Chaeryong","","Chaeryong","Gun","County"
25687,166,"PRK","North Korea",5,"Hwanghae-namdo",77,"Changyon","","Jangyon","Gun","County"
25976,166,"PRK","North Korea",1,"Chagang-do",1,"Ch'osan","","Chosan","Gun","County"
25977,166,"PRK","North Korea",1,"Chagang-do",2,"Chonch'on","","Jonchon","Gun","County"
25978,166,"PRK","North Korea",1,"Chagang-do",3,"Changgang","","Janggang","Gun","County"
25979,166,"PRK","North Korea",1,"Chagang-do",4,"Chasong","","Jasong","Gun","County"
25980,166,"PRK","North Korea",1,"Chagang-do",5,"Chunggang","","Junggang","Gun","County"
25981,166,"PRK","North Korea",1,"Chagang-do",6,"Huich'on","","Huichon","Si"," City"
25982,166,"PRK","North Korea",1,"Chagang-do",7,"Hwap'yong","","Hwaphyong","Gun","County"
25983,166,"PRK","North Korea",1,"Chagang-do",8,"Kanggye","","","Si"," City"
25984,166,"PRK","North Korea",1,"Chagang-do",9,"Kop'ung","","Kopung","Gun","County"
25985,166,"PRK","North Korea",1,"Chagang-do",10,"Manp'o","","Manpo","Si"," City"
25986,166,"PRK","North Korea",1,"Chagang-do",11,"Rangrim","","","Gun","County"
25987,166,"PRK","North Korea",1,"Chagang-do",12,"Ryongrim","","","Gun","County"
25988,166,"PRK","North Korea",1,"Chagang-do",13,"Songgan","","Songgan","Gun","County"
25989,166,"PRK","North Korea",1,"Chagang-do",14,"Sijung","","","Gun","County"
25990,166,"PRK","North Korea",1,"Chagang-do",15,"Songwon","","Songwon","Gun","County"
25991,166,"PRK","North Korea",1,"Chagang-do",16,"Tongsin","","","Gun","County"
25992,166,"PRK","North Korea",1,"Chagang-do",17,"Usi","","","Gun","County"
25993,166,"PRK","North Korea",1,"Chagang-do",18,"Wiwon","","Wiwon","Gun","County"
25994,166,"PRK","North Korea",2,"Hamgyong-bukto",19,"Undok","","Undok","Gun","County"
25995,166,"PRK","North Korea",2,"Hamgyong-bukto",20,"Orang","","Orang","Gun","County"
25996,166,"PRK","North Korea",2,"Hamgyong-bukto",21,"Ch'ongjin","","Chongjin","Si","City"
25997,166,"PRK","North Korea",2,"Hamgyong-bukto",22,"Hoeryong","","Hoiryong","Si","City"
25998,166,"PRK","North Korea",2,"Hamgyong-bukto",23,"Hwadae","","","Gun","County"
25999,166,"PRK","North Korea",2,"Hamgyong-bukto",24,"Hwasong","","Hwasong","Gun","County"
26000,166,"PRK","North Korea",2,"Hamgyong-bukto",25,"Kilchu","","Kiliju","Gun","County"
26001,166,"PRK","North Korea",2,"Hamgyong-bukto",26,"Kimch'aek","","Kimchaek","Si","City"
26002,166,"PRK","North Korea",2,"Hamgyong-bukto",27,"Kyongsong","","Kyongsong","Gun","County"
26003,166,"PRK","North Korea",2,"Hamgyong-bukto",28,"Musan","","","Gun","County"
26004,166,"PRK","North Korea",2,"Hamgyong-bukto",29,"Myongch'on","","Myongchon","Gun","County"
26005,166,"PRK","North Korea",2,"Hamgyong-bukto",30,"Onsong","","Onsong","Gun","County"
26006,166,"PRK","North Korea",2,"Hamgyong-bukto",31,"Puryong","","Puryong","Gun","County"
26007,166,"PRK","North Korea",2,"Hamgyong-bukto",32,"Puyun","","","Gun","County"
26008,166,"PRK","North Korea",2,"Hamgyong-bukto",33,"Saebyol","","Saepyol","Gun","County"
26009,166,"PRK","North Korea",2,"Hamgyong-bukto",34,"Yonsa","","Yonsa","Gun","County"
26010,166,"PRK","North Korea",3,"Hamgyong-namdo",35,"Chongp'yong","","Jonpyong","Gun","County"
26011,166,"PRK","North Korea",3,"Hamgyong-namdo",36,"Dachon","","","Gun","County"
